# matchedfilter CPU COST table -- FDR and batch-aware relative costs
# format cost-fd-pairs-v1
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  4c2706e
# Warm public-API cost relative to the widest band for this profile and shape.
# The reference-profile gate model computes accuracy independently.
# U=2 and K=8 are retained as configuration metadata; taps are inert.
# COST n band U K snr fd pairs f beff relative_cost
COST 131072 16384 2 8 6.00 0.0001 512 0.958440 5786.452 1.321152
COST 131072 32768 2 8 6.00 0.0001 512 0.988192 6148.706 0.586385
COST 131072 65536 2 8 6.00 0.0001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 6.00 0.001 512 0.101363 1161.495 0.746900
COST 131072 4096 2 8 6.00 0.001 512 0.330517 3133.156 0.784660
COST 131072 8192 2 8 6.00 0.001 512 0.556820 6433.428 0.775038
COST 131072 16384 2 8 6.00 0.001 512 0.739558 10405.039 0.802225
COST 131072 32768 2 8 6.00 0.001 512 0.884753 14510.533 0.861130
COST 131072 65536 2 8 6.00 0.001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 6.00 0.001 512 0.165475 1248.868 1.453352
COST 131072 4096 2 8 6.00 0.001 512 0.461394 3219.569 1.479964
COST 131072 8192 2 8 6.00 0.001 512 0.695493 5977.928 1.611510
COST 131072 16384 2 8 6.00 0.001 512 0.845646 8515.006 1.571654
COST 131072 32768 2 8 6.00 0.001 512 0.940342 10452.859 1.372856
COST 131072 65536 2 8 6.00 0.001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 6.00 0.001 512 0.244680 1346.831 2.428198
COST 131072 4096 2 8 6.00 0.001 512 0.588141 3276.857 2.392468
COST 131072 8192 2 8 6.00 0.001 512 0.805819 5460.169 2.474676
COST 131072 16384 2 8 6.00 0.001 512 0.916724 6964.047 1.685059
COST 131072 32768 2 8 6.00 0.001 512 0.972240 7818.850 0.732539
COST 131072 65536 2 8 6.00 0.001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 6.00 0.001 512 0.334152 1456.527 2.506100
COST 131072 4096 2 8 6.00 0.001 512 0.698534 3302.182 2.466159
COST 131072 8192 2 8 6.00 0.001 512 0.883560 4943.763 2.151037
COST 131072 16384 2 8 6.00 0.001 512 0.958440 5786.452 0.524759
COST 131072 32768 2 8 6.00 0.001 512 0.988192 6148.706 0.486263
COST 131072 65536 2 8 6.00 0.001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 6.00 0.01 512 0.101363 1161.495 1.142598
COST 131072 4096 2 8 6.00 0.01 512 0.330517 3133.156 1.156386
COST 131072 8192 2 8 6.00 0.01 512 0.556820 6433.428 1.175995
COST 131072 16384 2 8 6.00 0.01 512 0.739558 10405.039 1.225644
COST 131072 32768 2 8 6.00 0.01 512 0.884753 14510.533 1.259490
COST 131072 65536 2 8 6.00 0.01 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 6.00 0.01 512 0.165475 1248.868 2.165064
COST 131072 4096 2 8 6.00 0.01 512 0.461394 3219.569 2.245897
COST 131072 8192 2 8 6.00 0.01 512 0.695493 5977.928 2.269153
COST 131072 16384 2 8 6.00 0.01 512 0.845646 8515.006 2.136943
COST 131072 32768 2 8 6.00 0.01 512 0.940342 10452.859 0.830895
COST 131072 65536 2 8 6.00 0.01 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 6.00 0.01 512 0.244680 1346.831 2.493358
COST 131072 4096 2 8 6.00 0.01 512 0.588141 3276.857 2.506638
COST 131072 8192 2 8 6.00 0.01 512 0.805819 5460.169 2.113032
COST 131072 16384 2 8 6.00 0.01 512 0.916724 6964.047 0.701115
COST 131072 32768 2 8 6.00 0.01 512 0.972240 7818.850 0.483827
COST 131072 65536 2 8 6.00 0.01 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 6.00 0.01 512 0.334152 1456.527 2.465553
COST 131072 4096 2 8 6.00 0.01 512 0.698534 3302.182 2.497800
COST 131072 8192 2 8 6.00 0.01 512 0.883560 4943.763 0.831342
COST 131072 16384 2 8 6.00 0.01 512 0.958440 5786.452 0.281959
COST 131072 32768 2 8 6.00 0.01 512 0.988192 6148.706 0.451306
COST 131072 65536 2 8 6.00 0.01 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 6.50 0.0001 512 0.101363 1161.495 0.797972
COST 131072 4096 2 8 6.50 0.0001 512 0.330517 3133.156 0.825225
COST 131072 8192 2 8 6.50 0.0001 512 0.556820 6433.428 0.828056
COST 131072 16384 2 8 6.50 0.0001 512 0.739558 10405.039 0.868708
COST 131072 32768 2 8 6.50 0.0001 512 0.884753 14510.533 0.938213
COST 131072 65536 2 8 6.50 0.0001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 6.50 0.0001 512 0.165475 1248.868 1.979083
COST 131072 4096 2 8 6.50 0.0001 512 0.461394 3219.569 2.003783
COST 131072 8192 2 8 6.50 0.0001 512 0.695493 5977.928 2.077927
COST 131072 16384 2 8 6.50 0.0001 512 0.845646 8515.006 2.123411
COST 131072 32768 2 8 6.50 0.0001 512 0.940342 10452.859 1.530710
COST 131072 65536 2 8 6.50 0.0001 512 1.000000 11804.351 1.000000
COST 131072 2048 2 8 6.50 0.0001 512 0.244680 1346.831 2.597230
COST 131072 4096 2 8 6.50 0.0001 512 0.588141 3276.857 2.648567
COST 131072 8192 2 8 6.50 0.0001 512 0.805819 5460.169 2.656334
COST 131072 16384 2 8 6.50 0.0001 512 0.916724 6964.047 1.593745
COST 131072 32768 2 8 6.50 0.0001 512 0.972240 7818.850 0.599795
COST 131072 65536 2 8 6.50 0.0001 512 1.000000 8269.841 1.000000
COST 131072 2048 2 8 6.50 0.0001 512 0.334152 1456.527 2.528925
COST 131072 4096 2 8 6.50 0.0001 512 0.698534 3302.182 2.561762
COST 131072 8192 2 8 6.50 0.0001 512 0.883560 4943.763 1.838380
COST 131072 16384 2 8 6.50 0.0001 512 0.958440 5786.452 0.378988
COST 131072 32768 2 8 6.50 0.0001 512 0.988192 6148.706 0.430397
COST 131072 65536 2 8 6.50 0.0001 512 1.000000 6296.317 1.000000
COST 131072 2048 2 8 6.50 0.001 512 0.101363 1161.495 1.190952
COST 131072 4096 2 8 6.50 0.001 512 0.330517 3133.156 1.181121
COST 131072 8192 2 8 6.50 0.001 512 0.556820 6433.428 1.191214
COST 131072 16384 2 8 6.50 0.001 512 0.739558 10405.039 1.238626
COST 131072 32768 2 8 6.50 0.001 512 0.884753 14510.533 1.316108
COST 131072 65536 2 8 6.50 0.001 512 1.000000 18388.750 1.000000
COST 131072 2048 2 8 6.50 0.001 512 0.165475 1248.868 2.535933
COST 131072 4096 2 8 6.50 0.001 512 0.461394 3219.569 2.502178
COST 131072 8192 2 8 6.50 0.001 512 0.695493 5977.928 2.536080
